category,slug,file,world_height,pick_radius,pixel_width,pixel_height,sheet_x,sheet_y
tree,tree_round_large,tree_round_large.png,6.20,1.74,84,130,342,0
bush,bush_flower_blue,bush_flower_blue.png,0.95,0.90,38,50,91,1
tree,tree_round_medium,tree_round_medium.png,4.60,1.40,65,98,270,1
house,house_timber_tall,house_timber_tall.png,16.59,4.65,143,197,448,2
tree,tree_pine,tree_pine.png,4.46,1.40,56,96,211,3
bush,bush_round,bush_round.png,0.95,0.90,35,50,131,4
bush,bush_flower_blue_2,bush_flower_blue_2.png,0.95,0.90,66,55,9,8
rock,rock_pebble,rock_pebble.png,0.65,1.10,38,37,166,14
house,house_cottage_blue,house_cottage_blue.png,14.18,3.97,196,169,625,15
house,house_cottage_red,house_cottage_red.png,14.18,3.97,196,169,848,15
bush,bush_flower_blue_3,bush_flower_blue_3.png,0.95,0.90,38,51,91,53
bush,bush_round_2,bush_round_2.png,0.95,0.90,35,50,128,56
rock,rock_pebble_2,rock_pebble_2.png,0.65,1.10,38,37,162,66
bush,bush_flower_red,bush_flower_red.png,0.95,0.90,66,55,9,68
mushroom,mushroom_brown,mushroom_brown.png,0.45,0.45,35,31,157,106
rock,rock_medium,rock_medium.png,0.65,1.10,36,36,208,106
rock,rock_medium_2,rock_medium_2.png,0.65,1.10,36,36,246,106
rock,rock_pebble_3,rock_pebble_3.png,0.65,1.10,36,33,289,107
mushroom,mushroom_blue,mushroom_blue.png,0.45,0.45,37,30,107,108
bush,bush_round_3,bush_round_3.png,0.95,0.90,66,55,9,127
mushroom,mushroom_brown_2,mushroom_brown_2.png,0.45,0.45,35,31,158,137
rock,rock_pebble_4,rock_pebble_4.png,0.65,1.10,30,36,380,138
mushroom,mushroom_blue_2,mushroom_blue_2.png,0.45,0.45,37,30,108,139
rock,rock_medium_3,rock_medium_3.png,0.65,1.10,36,36,208,151
rock,rock_medium_4,rock_medium_4.png,0.65,1.10,36,36,246,151
rock,rock_medium_5,rock_medium_5.png,0.65,1.10,44,32,289,152
bush,bush_round_4,bush_round_4.png,0.95,0.90,38,51,106,170
bush,bush_round_5,bush_round_5.png,0.95,0.90,35,50,158,173
bush,bush_round_6,bush_round_6.png,0.95,0.90,66,55,9,184
rock,rock_pebble_5,rock_pebble_5.png,0.65,1.10,34,36,379,184
rock,rock_pebble_6,rock_pebble_6.png,0.65,1.10,35,30,208,198
house,house_cottage_green,house_cottage_green.png,14.18,3.97,196,169,848,207
bush,bush_round_7,bush_round_7.png,0.95,0.90,38,51,106,223
mushroom,mushroom_red,mushroom_red.png,0.45,0.45,16,29,765,223
rock,rock_medium_6,rock_medium_6.png,0.65,1.10,43,30,576,224
mushroom,mushroom_red_2,mushroom_red_2.png,0.45,0.45,16,28,748,224
bush,bush_round_8,bush_round_8.png,0.95,0.90,35,50,158,226
rock,rock_pebble_7,rock_pebble_7.png,0.65,1.10,36,27,621,226
rock,rock_pebble_8,rock_pebble_8.png,0.65,1.10,29,27,657,226
mushroom,mushroom_red_3,mushroom_red_3.png,0.45,0.45,22,22,687,231
chest,chest,chest.png,0.85,0.90,40,53,418,232
rock,rock_medium_7,rock_medium_7.png,0.65,1.10,53,43,266,235
mushroom,mushroom_red_4,mushroom_red_4.png,0.45,0.45,16,36,329,236
rock,rock_medium_8,rock_medium_8.png,0.65,1.10,41,36,213,239
bush,bush_round_9,bush_round_9.png,0.95,0.90,49,45,17,249
rock,rock_pebble_9,rock_pebble_9.png,0.65,1.10,46,18,357,249
bush,bush_round_10,bush_round_10.png,0.95,0.90,38,51,106,278
rock,rock_medium_9,rock_medium_9.png,0.65,1.10,44,36,580,279
bush,bush_round_11,bush_round_11.png,0.95,0.90,35,50,158,281
rock,rock_medium_10,rock_medium_10.png,0.65,1.10,41,29,635,281
rock,rock_pebble_10,rock_pebble_10.png,0.65,1.10,39,29,687,282
bush,bush_round_12,bush_round_12.png,0.95,0.90,44,50,214,291
rock,rock_large,rock_large.png,0.78,1.10,44,54,275,292
rock,rock_medium_11,rock_medium_11.png,0.69,1.10,28,48,417,311
rock,rock_pebble_11,rock_pebble_11.png,0.65,1.10,16,42,451,311
rock,rock_medium_12,rock_medium_12.png,0.65,1.10,64,42,339,312
rock,rock_medium_13,rock_medium_13.png,0.65,1.10,36,38,637,325
rock,rock_medium_14,rock_medium_14.png,0.65,1.10,44,35,581,329
bush,bush_round_13,bush_round_13.png,0.95,0.90,38,51,106,332
bush,bush_round_14,bush_round_14.png,0.95,0.90,35,50,158,335
rock,rock_pebble_12,rock_pebble_12.png,0.65,1.10,44,22,214,349
mushroom,mushroom_red_5,mushroom_red_5.png,0.45,0.45,44,14,276,350
rock,rock_pebble_13,rock_pebble_13.png,0.65,1.10,44,18,276,366
